leaderboard,timestamp,tier,score
diamond-tournament,2025-02-10T00:53:38Z,2,6763
leagues,2025-02-17T14:20:48Z,9,6819
leagues,2025-02-23T23:27:15Z,9,1504
leagues,2025-03-03T18:50:57Z,8,54
leagues,2025-03-10T21:38:00Z,7,43
leagues,2025-03-18T01:54:23Z,6,28
leagues,2025-03-25T19:14:38Z,5,33
leagues,2025-04-02T23:37:53Z,4,1203
leagues,2025-04-07T23:30:17Z,5,3958
leagues,2025-04-14T23:41:52Z,6,4967
leagues,2025-04-21T23:27:32Z,7,3513
leagues,2025-04-28T23:25:42Z,8,4768
leagues,2025-05-05T14:39:07Z,9,2872
leagues,2025-05-12T14:31:23Z,9,3138
leagues,2025-05-19T15:00:58Z,9,5366
diamond-tournament,2025-05-25T22:00:18Z,0,113
leagues,2025-06-01T22:18:52Z,9,1435
leagues,2025-06-08T22:52:32Z,8,780
leagues,2025-08-25T17:39:02Z,7,1583
leagues,2025-09-01T13:09:48Z,8,2497
leagues,2025-09-08T10:38:58Z,8,1694
leagues,2025-09-15T16:08:38Z,7,2386
leagues,2025-09-22T21:56:27Z,8,3307
leagues,2025-09-28T23:27:30Z,9,7874
diamond-tournament,2025-10-06T16:34:22Z,0,6185
diamond-tournament,2025-10-12T23:22:41Z,1,4985
diamond-tournament,2025-10-20T23:09:41Z,2,45
leagues,2025-10-27T01:52:43Z,9,2098
leagues,2025-11-03T02:27:08Z,9,1716
leagues,2025-11-10T01:21:37Z,9,3576
leagues,2025-11-17T00:19:11Z,9,1607
leagues,2025-11-24T02:33:59Z,8,796
leagues,2025-12-09T18:54:34Z,7,3484
leagues,2025-12-15T10:29:48Z,8,5537
leagues,2025-12-22T10:24:01Z,9,3557
leagues,2025-12-29T10:36:07Z,9,4165
leagues,2026-01-04T23:46:25Z,9,4156
leagues,2026-01-12T20:21:50Z,9,4058
leagues,2026-01-21T00:30:53Z,9,427
leagues,2026-01-26T01:23:16Z,8,2636
leagues,2026-02-02T02:45:48Z,8,64
leagues,2026-02-09T00:56:58Z,7,1380
leagues,2026-02-16T10:57:18Z,7,4010
leagues,2026-02-23T02:56:20Z,8,3407
leagues,2026-03-02T22:52:50Z,9,2160
leagues,2026-03-09T22:37:56Z,8,2750
leagues,2026-03-16T00:28:01Z,9,3582
leagues,2026-03-23T13:34:36Z,9,3468
leagues,2026-03-30T22:47:29Z,9,2211
leagues,2026-04-06T12:55:55Z,9,3499
diamond-tournament,2026-04-13T13:10:41Z,0,3648
diamond-tournament,2026-04-20T22:37:13Z,1,3443
diamond-tournament,2026-04-27T13:14:47Z,2,3159
leagues,2026-05-03T23:58:59Z,9,3247
